asset,best_params
bitcoin,"(1, 5, 2, 50)"
ethereum,"(1, 5, 2, 50)"
tether,"(1, 5, 2, 50)"
binance-coin,"(5, 5, 2, 50)"
usd-coin,"(5, 5, 2, 50)"
xrp,"(1, 11, 2, 50)"
solana,"(5, 5, 2, 50)"
cardano,"(7, 5, 2, 50)"
dogecoin,"(1, 5, 2, 50)"
tron,"(3, 5, 2, 50)"
multi-collateral-dai,"(1, 7, 2, 50)"
polygon,"(1, 5, 4, 50)"
polkadot,"(3, 11, 2, 50)"
wrapped-bitcoin,"(1, 7, 2, 50)"
litecoin,"(5, 5, 2, 50)"
bitcoin-cash,"(1, 5, 2, 50)"
chainlink,"(1, 9, 2, 50)"
shiba-inu,"(1, 9, 2, 50)"
unus-sed-leo,"(1, 7, 2, 50)"
trueusd,"(1, 5, 2, 50)"
avalanche,"(1, 5, 2, 50)"
stellar,"(3, 5, 2, 50)"
okb,"(1, 5, 2, 50)"
monero,"(1, 5, 2, 50)"
uniswap,"(1, 11, 2, 50)"
ethereum-classic,"(3, 13, 2, 50)"
binance-usd,"(1, 5, 2, 50)"
cosmos,"(7, 13, 2, 50)"
bitcoin-bep2,"(1, 13, 2, 50)"
filecoin,"(1, 5, 2, 50)"
internet-computer,"(5, 5, 2, 50)"
lido-dao,"(1, 7, 0, 50)"
maker,"(1, 5, 2, 50)"
crypto-com-coin,"(1, 5, 2, 50)"
vechain,"(1, 5, 2, 50)"
quant,"(7, 11, 2, 50)"
near-protocol,"(1, 5, 2, 50)"
aave,"(1, 13, 2, 50)"
stacks,"(1, 5, 2, 50)"
bitcoin-sv,"(1, 5, 2, 50)"
the-graph,"(7, 5, 2, 50)"
algorand,"(3, 5, 2, 50)"
hedera-hashgraph,"(1, 13, 2, 50)"
render-token,"(1, 5, 2, 50)"
tezos,"(1, 5, 0, 50)"
theta,"(3, 9, 2, 50)"
the-sandbox,"(1, 5, 2, 50)"
eos,"(1, 5, 2, 50)"
axie-infinity,"(5, 5, 2, 50)"
elrond-egld,"(1, 5, 2, 50)"
xinfin-network,"(1, 7, 2, 50)"
injective-protocol,"(1, 5, 2, 50)"
decentraland,"(9, 5, 2, 50)"
thorchain,"(5, 7, 2, 50)"
fantom,"(1, 5, 2, 50)"
kava,"(1, 5, 2, 50)"
neo,"(1, 5, 2, 50)"
ecash,"(1, 5, 2, 50)"
paxos-standard,"(1, 5, 2, 50)"
flow,"(1, 7, 2, 50)"
synthetix-network-token,"(9, 7, 2, 50)"
zcash,"(1, 5, 2, 50)"
trust-wallet-token,"(1, 11, 2, 50)"
kucoin-token,"(3, 5, 2, 50)"
frax-share,"(3, 5, 2, 50)"
fei-protocol,"(1, 13, 0, 50)"
chiliz,"(1, 5, 2, 50)"
iota,"(1, 5, 2, 50)"
ocean-protocol,"(1, 5, 2, 50)"
klaytn,"(5, 11, 2, 50)"
curve-dao-token,"(7, 9, 2, 50)"
huobi-token,"(1, 13, 0, 50)"
rocket-pool,"(1, 11, 2, 50)"
conflux-network,"(3, 7, 2, 50)"
mina,"(1, 5, 2, 50)"
gatetoken,"(3, 5, 2, 50)"
casper,"(1, 7, 2, 50)"
ftx-token,"(5, 11, 2, 50)"
dydx,"(1, 5, 2, 50)"
gala,"(1, 5, 2, 50)"
compound,"(1, 9, 2, 50)"
nexo,"(1, 9, 2, 50)"
wootrade,"(1, 5, 2, 50)"
dash,"(1, 13, 0, 50)"
zilliqa,"(1, 5, 2, 50)"
loom-network,"(9, 5, 2, 50)"
basic-attention-token,"(1, 5, 2, 50)"
1inch,"(1, 5, 2, 50)"
oasis-network,"(1, 5, 2, 50)"
arweave,"(1, 5, 2, 50)"
pancakeswap,"(3, 7, 0, 50)"
gnosis-gno,"(3, 9, 2, 50)"
holo,"(3, 5, 2, 50)"
nem,"(3, 7, 2, 50)"
aelf,"(1, 5, 2, 50)"
qtum,"(3, 5, 2, 50)"
gemini-dollar,"(3, 7, 2, 50)"
loopring,"(5, 5, 2, 50)"
0x,"(1, 13, 2, 50)"
